Metric,Value
AUC,0.9544891217578075
EER,0.11548842932560632
EER_Threshold,0.4859362244606018
FAR (at 0.5),0.10564663023679417
FRR (at 0.5),0.11985472154963683
Precision,0.9616402116402116
Recall,0.8801452784503632
F1,0.9190897597977244
