epoch,train_loss,train_acc,val_loss,val_acc
1,0.0356718212942549,0.6956041528606141,0.03217658503343385,0.753315649867374
2,0.02479808990960241,0.825160150209852,0.01850603961086874,0.8921308576480991
3,0.01808926969517714,0.8800530152418821,0.015570817452465916,0.9071618037135278
4,0.013905962921189854,0.9152860614093219,0.014935268225662154,0.9195402298850575
5,0.011721796008890182,0.9295339076651203,0.015284476415953594,0.9071618037135278
6,0.009611403325925354,0.9438922023415065,0.019284804340150983,0.8938992042440318
7,0.008027963509503301,0.9539430086149768,0.011800323551221162,0.9301503094606542
8,0.007352845393194251,0.9578087033355424,0.011698902955425663,0.9336870026525199
9,0.0059035420868550625,0.9657609896178485,0.01452200288130287,0.9213085764809903
10,0.005606604283195356,0.9700684780207643,0.012827168191948525,0.9328028293545535
11,0.004876836743123007,0.9743759664236802,0.013339177669340374,0.9292661361626879
12,0.004312583132986464,0.9770267285177822,0.011422768533913191,0.9363395225464191
13,0.0038773401456386435,0.9785730064060084,0.026157406193538058,0.8956675508399646
14,0.0038822108129501188,0.9793461453501215,0.016247009676426453,0.9204244031830239
15,0.0035675127147344918,0.9814446653412856,0.012450141130674176,0.9389920424403183
16,0.0033296640012232784,0.9828804948089243,0.016248823050738725,0.9213085764809903
17,0.0026725521192166686,0.9849790148000883,0.01423789603982477,0.9442970822281167
