epoch,train_loss,val_loss,val_auc,val_eer,val_acc,threshold
1,0.025394774712799523,0.016391618518714457,0.930645233236314,0.15122723673792557,0.8493859082094376,0.6225837230304829
2,0.01573909211730888,0.014618063735273792,0.949439909448775,0.1161971830994985,0.8842921784098254,0.5581054687498742
3,0.011854603038719854,0.02642337163835883,0.9527143064244532,0.11243072050672363,0.8881706528765352,0.48927482308986586
4,0.009982571285611006,0.017132637462394656,0.9648849151918638,0.1013460015835313,0.898513251454428,0.6623220073733175
5,0.008299682558671582,0.016374040363923422,0.9540511079143108,0.1126760563372458,0.8849385908209437,0.7021484375010849
6,0.007165200716941449,0.0211655667219194,0.9582064835569235,0.11267605633701624,0.8875242404654169,0.7421875000002807
7,0.006077473640346767,0.028946724455926713,0.9469517022961204,0.10563380281616394,0.8939883645765999,0.6635742187501023
8,0.005633202375033119,0.04041212826704388,0.9672894851293031,0.10211267605554591,0.8972204266321914,0.33813476562543937
9,0.005026420707951645,0.023690751458457403,0.9562173117883865,0.10292953285831928,0.8972204266321914,0.745640649742651
10,0.004425972346388758,0.034397763231007066,0.9623744047818183,0.08867775138559922,0.9114414996767938,0.4773138654864378
11,0.004159568013791443,0.025469149066280224,0.9579904207509508,0.10563380281768657,0.8959276018099548,0.6733398437491289
12,0.003670188783248977,0.029490316919256344,0.9616969433385746,0.09817893903404303,0.9023917259211377,0.6872405885045543
13,0.0033893190570489246,0.020938319740707225,0.9642924849174223,0.08630245447301553,0.9140271493212669,0.5695462502478736
14,0.0029964244868709113,0.02785928499380788,0.9580001784260591,0.10915492957625017,0.8881706528765352,0.6791992187516843
15,0.0028582934415730932,0.024825314380438973,0.9555063954590568,0.088028169013462,0.9114414996767938,0.7924804687504317
